"","Nicosia","Larnaca","Valletta","Marsaxlokk","Athens","Piraeus","Aspropyrgos","Lisbon","Leixoes","Setubal","Horta","Ponta Delgada","Funchal","Ankara","Mersin","Ambarli","Yerevan","Madrid","Barcelona","Valencia","Tirana","Vlore","Vlone","Tbilisi","Batumi","Poti","Rome","Genoa","Venice","Skopje","Podgorica","Pristina","Sofia","Bourgas","Varna","Monaco","Monaco","Sarajevo","Bucharest","Constantza","Galatz","Belgrade","Zagreb","Split","Rijeka","Ljubljana","Koper","Piran","Izola","Bern","Chisinau","Vaduz","Budapest","Bratislava","Vienna","Paris","Brest","Dunkirk","Luxembourg","Prague","Kyiv","Feodosia","Brussels","Antwerp","Zeebrugge","London","Liverpool","London","Warsaw","Gdansk","Amsterdam","Vlissingen","Berlin","Rostock","Hamburg","Dublin","Dublin","Minsk","Vilnius","Copenhagen","Aarhus","Copenhagen","Moscow","Kaliningrad","St Petersburg","Riga","Stockholm","Lysekil","Stockholm","Tallinn","Tallinn","Oslo","Bergen","Narvik","Helsinki","Helsinki","Kotka","Reykjavik","Grundartangi","Mexico City","Manzanillo","Veracruz","Ottawa","Halifax","Vancouver","Washington","Los Angeles","New Jersey","Panama City","Cristobal","Balboa","San Jose","Puerto Limon","Managua","San Salvador","Cutuco","Tegucigalpa","Guatemala City","Puerto Quetzal","Belmopan","Montevideo","Montevideo","Buenos Aires","Bahia Blanca","Buenos Aires","Santiago","San Vicente","Valparaiso","Asuncion","La Paz","Brasilia","Rio Grande","Salvador","Santos","Lima","Matarani","Callao","Quito","Esmeraldas","Guayaquil","Bogota","Buenaventura","Cartagena","Paramaribo","Georgetown","Caracas"
"Tirana","null","null","null","null","499.71076","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","96.8049","null","null","null","null","null","null","154.30641","132.25401","187.02883","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Vlore","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.0","0.0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Vlone","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","96.8049","0.0","0.0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Tbilisi","null","null","null","null","null","null","null","null","null","null","null","null","null","1024.88942","null","null","170.95487","null","null","null","null","null","null","null","265.82018","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","1649.54558","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Batumi","null","null","null","null","null","null","null","null","null","null","null","null","null","null","809.96142","null","null","null","null","null","null","null","null","265.82018","0.0","31.0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","628.71799","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Poti","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","31.0","0.0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","597.76578","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Rome","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","393.07428","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","489.2585","null","null","null","685.22181","null","null","null","null","763.81471","1106.56318","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Genoa","null","null","null","1063.80844","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0.0","1127.0","null","null","null","null","null","null","null","139.78507","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Venice","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","393.07428","1127.0","0.0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","109.8958","99.19755","105.66835","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Skopje","null","null","null","null","487.67048","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","154.30641","null","null","null","null","null","null","null","null","null","null","77.30283","172.4273","null","null","null","null","null","null","null","null","323.93941","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
